post_text,likes,comments,shares,time_posted,platform
"AI tools are transforming productivity in 2026",220,45,30,09:00,Instagram
"Top 5 Python tricks every developer should know",310,60,40,14:00,LinkedIn
"Morning motivation: Start small, think big",120,20,10,08:00,Twitter
"How machine learning is shaping healthcare",280,55,35,18:00,LinkedIn
"Best VS Code extensions for programmers",200,35,20,16:00,Instagram
"Quick coding tip: Use list comprehensions!",260,50,30,11:00,Twitter
"Why AI ethics matters more than ever",190,40,25,19:00,LinkedIn
"Boost your productivity with these habits",150,25,15,07:00,Instagram
"Future of tech: AI + Human collaboration",300,70,45,20:00,LinkedIn
"Debugging skills every coder must master",210,38,22,15:00,Twitter
"Learn data science step by step",250,48,28,13:00,LinkedIn
"Consistency beats motivation every time",140,22,12,06:00,Instagram
"Top programming languages to learn in 2026",320,75,50,17:00,LinkedIn
"Simple tricks to write cleaner code",180,30,18,12:00,Twitter
"Tech careers are evolving rapidly",230,42,27,10:00,LinkedIn
